mode,best_val_nmse,test_nmse,test_db,best_model,log_file,out_dir
ls_only,0.9557458460330963,1.07039475440979,0.2954397211987586,deepmimo_multibs\processed\o1_60_rx0_tx10_11_12_channel_snr-10\runs\ls_only_ep100\best_model.pth,deepmimo_multibs\processed\o1_60_rx0_tx10_11_12_channel_snr-10\logs\ls_only_ep100.log,deepmimo_multibs\processed\o1_60_rx0_tx10_11_12_channel_snr-10\runs\ls_only_ep100
single_rss,0.9944112002849579,1.105507254600525,0.4356159686736841,deepmimo_multibs\processed\o1_60_rx0_tx10_11_12_channel_snr-10\runs\single_rss_ep100\best_model.pth,deepmimo_multibs\processed\o1_60_rx0_tx10_11_12_channel_snr-10\logs\single_rss_ep100.log,deepmimo_multibs\processed\o1_60_rx0_tx10_11_12_channel_snr-10\runs\single_rss_ep100
multibs_rss,1.010699063539505,1.1331117153167725,0.542727297696973,deepmimo_multibs\processed\o1_60_rx0_tx10_11_12_channel_snr-10\runs\multibs_rss_ep100\best_model.pth,deepmimo_multibs\processed\o1_60_rx0_tx10_11_12_channel_snr-10\logs\multibs_rss_ep100.log,deepmimo_multibs\processed\o1_60_rx0_tx10_11_12_channel_snr-10\runs\multibs_rss_ep100
zero_rss,1.0198651552200317,1.1126894056797028,0.4637395299232876,deepmimo_multibs\processed\o1_60_rx0_tx10_11_12_channel_snr-10\runs\zero_rss_ep100\best_model.pth,deepmimo_multibs\processed\o1_60_rx0_tx10_11_12_channel_snr-10\logs\zero_rss_ep100.log,deepmimo_multibs\processed\o1_60_rx0_tx10_11_12_channel_snr-10\runs\zero_rss_ep100
shuffled_rss,1.0086393356323242,1.113991916179657,0.4688203933743562,deepmimo_multibs\processed\o1_60_rx0_tx10_11_12_channel_snr-10\runs\shuffled_rss_ep100\best_model.pth,deepmimo_multibs\processed\o1_60_rx0_tx10_11_12_channel_snr-10\logs\shuffled_rss_ep100.log,deepmimo_multibs\processed\o1_60_rx0_tx10_11_12_channel_snr-10\runs\shuffled_rss_ep100
