mode,best_val_nmse,test_nmse,test_db,best_model,log_file,out_dir
ls_only,0.6223229169845581,0.7542234063148499,-1.2249999397276519,deepmimo_multibs\processed\o1_60_rx0_tx10_11_12_channel_snr-5\runs\ls_only_ep100\best_model.pth,deepmimo_multibs\processed\o1_60_rx0_tx10_11_12_channel_snr-5\logs\ls_only_ep100.log,deepmimo_multibs\processed\o1_60_rx0_tx10_11_12_channel_snr-5\runs\ls_only_ep100
single_rss,0.6598967015743256,0.7931068539619446,-1.0066829697017123,deepmimo_multibs\processed\o1_60_rx0_tx10_11_12_channel_snr-5\runs\single_rss_ep100\best_model.pth,deepmimo_multibs\processed\o1_60_rx0_tx10_11_12_channel_snr-5\logs\single_rss_ep100.log,deepmimo_multibs\processed\o1_60_rx0_tx10_11_12_channel_snr-5\runs\single_rss_ep100
multibs_rss,0.6457252204418182,0.7940149009227753,-1.0017134728598514,deepmimo_multibs\processed\o1_60_rx0_tx10_11_12_channel_snr-5\runs\multibs_rss_ep100\best_model.pth,deepmimo_multibs\processed\o1_60_rx0_tx10_11_12_channel_snr-5\logs\multibs_rss_ep100.log,deepmimo_multibs\processed\o1_60_rx0_tx10_11_12_channel_snr-5\runs\multibs_rss_ep100
zero_rss,0.6300630867481232,0.7340872883796692,-1.3425229620421013,deepmimo_multibs\processed\o1_60_rx0_tx10_11_12_channel_snr-5\runs\zero_rss_ep100\best_model.pth,deepmimo_multibs\processed\o1_60_rx0_tx10_11_12_channel_snr-5\logs\zero_rss_ep100.log,deepmimo_multibs\processed\o1_60_rx0_tx10_11_12_channel_snr-5\runs\zero_rss_ep100
shuffled_rss,0.6670654714107513,0.774373471736908,-1.1104953337995198,deepmimo_multibs\processed\o1_60_rx0_tx10_11_12_channel_snr-5\runs\shuffled_rss_ep100\best_model.pth,deepmimo_multibs\processed\o1_60_rx0_tx10_11_12_channel_snr-5\logs\shuffled_rss_ep100.log,deepmimo_multibs\processed\o1_60_rx0_tx10_11_12_channel_snr-5\runs\shuffled_rss_ep100
